sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 07, 2024 15:23:52

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_af32f278b05841e694433ae28c490f52(WIDTH=14)	       0(0)	       0(0)	       0(0)	     13(13)	     0(0)	     0(0)	     0(0)	
      +genblk7.wr2rd_addr_sync:efx_fifo_datasync_af32f278b05841e694433ae28c490f52(STAGE=2,WIDTH=14)	       0(0)	     14(14)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_af32f278b05841e694433ae28c490f52(WIDTH=14)	       0(0)	       0(0)	       0(0)	      13(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_af32f278b05841e694433ae28c490f52(WIDTH=13)	       0(0)	       0(0)	       0(0)	      12(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_af32f278b05841e694433ae28c490f52(WIDTH=12)	       0(0)	       0(0)	       0(0)	      11(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_af32f278b05841e694433ae28c490f52(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_af32f278b05841e694433ae28c490f52(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_af32f278b05841e694433ae28c490f52(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_af32f278b05841e694433ae28c490f52(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_af32f278b05841e694433ae28c490f52(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_af32f278b05841e694433ae28c490f52(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_af32f278b05841e694433ae28c490f52	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_af32f278b05841e694433ae28c490f52(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
                 +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_af32f278b05841e694433ae28c490f52(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                  +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_af32f278b05841e694433ae28c490f52(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
  +green_interp:bilinear_interpolation                      	   920(659)	      29(1)	   420(264)	   502(253)	     0(0)	    27(0)	   12(12)	
   +ux_divider_ip:divider_ip                                	      92(0)	       0(0)	      57(0)	      78(0)	     0(0)	     0(0)	     0(0)	
    +u_divider:divider_9537ff6f30ef403b9e2edbf97aa62a86(WIDTHN=27,WIDTHD=12,LATENCY=27,PIPELINE=1'b0)	     92(92)	       0(0)	     57(57)	     78(78)	     0(0)	     0(0)	     0(0)	
   +uy_divider_ip:divider_ip                                	      66(0)	       0(0)	      57(0)	      77(0)	     0(0)	     0(0)	     0(0)	
    +u_divider:divider_9537ff6f30ef403b9e2edbf97aa62a86(WIDTHN=27,WIDTHD=12,LATENCY=27,PIPELINE=1'b0)	     66(66)	       0(0)	     57(57)	     77(77)	     0(0)	     0(0)	     0(0)	
   +u1_my_bram_ip:my_bram_ip                                	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +u_efx_bram:efx_bram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +genblk1.tdpram_inst:efx_true_dual_port_ram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +brams:dpram_wrapper_mwm_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
       +scan_row.row[0].column[0].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[1].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[2].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[3].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_10	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
   +u2_my_bram_ip:my_bram_ip                                	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +u_efx_bram:efx_bram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +genblk1.tdpram_inst:efx_true_dual_port_ram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +brams:dpram_wrapper_mwm_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
       +scan_row.row[0].column[0].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[1].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[2].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[3].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_10	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
   +u3_my_bram_ip:my_bram_ip                                	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +u_efx_bram:efx_bram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +genblk1.tdpram_inst:efx_true_dual_port_ram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
